,address_line1,city,food_type,food_type1,location,number_of_reviews,restaurant_name,review_score
906,Al Batarji,Jeddah,"  , American", American,"Al Batarji, Jeddah Saudi Arabia",16, Bigwig Burger,4.0
907,Corniche Road,Jeddah,"  , Turkish", Turkish,"Corniche Road, Jeddah Saudi Arabia",16, Atiab Azzad,3.5
908,8749 Hail Street,Jeddah,Restaurants,Restaurants,"8749 Hail Street, Al Andalus Movenpick Hotel Tahlia, Jeddah 23326 Saudi Arabia",4, Rasoi by Vineet,5.0
909,Corniche Street,Jeddah,"  , Cafe, Seafood", Cafe,"Corniche Street, Jeddah Saudi Arabia",22, Sea Cave,3.5
910,6723 Prince Sultan Rd,Jeddah,"  , Sushi", Sushi,"6723 Prince Sultan Rd,, Jeddah 23431 Saudi Arabia",12, Chez Sushi,4.0
911,23421 Prince Saud Al Faisal Street Al Khalidiyah,Jeddah,Turkish,Turkish,"23421 Prince Saud Al Faisal Street Al Khalidiyah, Jeddah Saudi Arabia",4, Saraya Latif Al Khalidiyah,5.0
912,Prince Mohammed Bin Abdulaziz St,Jeddah,"  , American, Steakhouse, Australian", American,"Prince Mohammed Bin Abdulaziz St,, Jeddah 00966 Saudi Arabia",15, Outback Steakhouse,4.0
913,7051 Prince Sultan,Jeddah,"  , Cafe, International, Contemporary", Cafe,"7051 Prince Sultan, As Salamah Dist. Inside Zahran Business Centre, 2nd Floor, Jeddah 23525 Saudi Arabia",9, URB kitchen,4.0
914,South Sail - Corniche Obhur,Jeddah,"  , Seafood, Middle Eastern, Halal", Seafood,"South Sail - Corniche Obhur, Jeddah Saudi Arabia",25, Al Seqala,3.5
915,7281 Al Kurnaysh Road Al Hamra District,Jeddah,Restaurants,Restaurants,"7281 Al Kurnaysh Road Al Hamra District, Jeddah 23212 Saudi Arabia",6, Culture Cafe & Lounge,4.5
916,Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,Jeddah Saudi Arabia,6, Jarif's Kitchen,4.5
917,Al Mansurah Al Ham'mra,Jeddah,Restaurants,Restaurants,"Al Mansurah Al Ham'mra, Jeddah 23212 Saudi Arabia",5, Gulf Sea Food Restaurant,4.5
918,Ibrahim Al Hariri,Jeddah,", Arabic", Arabic,"Ibrahim Al Hariri, Jeddah 23733 Saudi Arabia",34, Alriwaq Alomawi Restaurant,3.5
919,6352 Ismail Abu Daud,Jeddah,"  , Mediterranean, Egyptian", Mediterranean,"6352 Ismail Abu Daud, Jeddah Saudi Arabia",14, Abou El Sid,3.5
920,Corner of Tahlia and Madina Road,Jeddah,", Seafood", Seafood,"Corner of Tahlia and Madina Road, behind Centerpoint, Solidaire Centre, Jeddah 21542 Saudi Arabia",15, Red Sea Grill,4.0
921,Mall of Arabia,Jeddah,German,German,"Mall of Arabia, Jeddah Saudi Arabia",7, Kamps - The German Backerei,4.0
922,Al Kurnaysh Rd Al Hamra District,Jeddah,  ,Restaurants,"Al Kurnaysh Rd Al Hamra District, Park Hyatt Hotel, Jeddah 21432 Saudi Arabia",7, Andalusia Restaurant,4.0
923,Emaar Square,Jeddah,", American, South American", American,"Emaar Square, Al Fayha'a, Jeddah 22241 Saudi Arabia",18, Buffalo Wings & Rings - Emaar Square,4.5
924,Medina Road,Jeddah,"  , Japanese, Sushi", Japanese,"Medina Road, Jeddah 21482 Saudi Arabia",7, Hokkaido Restaurant,4.5
925,Jeddah Saudi Arabia,Jeddah,"  , Chinese, Asian", Chinese,Jeddah Saudi Arabia,39, Durrat China,3.5
926,Jeddah Saudi Arabia,Jeddah,"  , Italian, Cafe, International", Italian,Jeddah Saudi Arabia,10, Marbella restaurant,4.0
927,Amna Bint Wahab Street,Jeddah,  ,Restaurants,"Amna Bint Wahab Street, Jeddah 23623 Saudi Arabia",7, Nama Ceray,4.0
928,Sari Street,Jeddah,  ,Restaurants,"Sari Street, Jeddah Saudi Arabia",9, Nadia Ottoman,4.0
929,King Abdul Aziz Branch Road,Jeddah,"  , Lebanese, Mediterranean", Lebanese,"King Abdul Aziz Branch Road, Jeddah Saudi Arabia",10, Karam Beirut,4.0
930,Falastin,Jeddah,"  , Mediterranean, Middle Eastern, Egyptian", Mediterranean,"Falastin, Jeddah Saudi Arabia",10, Sitt - Zmorrd,4.0
931,Ahmed AlAttas St infron of Alshate'e market,Jeddah,"  , Belgian, European, Turkish", Belgian,"Ahmed AlAttas St infron of Alshate'e market, Jeddah 54874 Saudi Arabia",6, Chocalaitah,4.5
933,8145 Abi Dharr Alghifari St As Sulaymaniyah District,Jeddah,Arabic,Arabic,"8145 Abi Dharr Alghifari St As Sulaymaniyah District, Jeddah Saudi Arabia",5,  Burger,4.5
934,Palestine Commercial Centre,Jeddah,"  , Indian", Indian,"Palestine Commercial Centre, Jeddah Saudi Arabia",7, Mehndi,4.0
935,Prince Saud Al Faisal Street,Jeddah,  ,Restaurants,"Prince Saud Al Faisal Street, Jeddah Saudi Arabia",6, Gravity Burger,4.0
936,Jeddah Saudi Arabia,Jeddah,"  , Pakistani, Middle Eastern", Pakistani,Jeddah Saudi Arabia,14, Makkah Hotel,4.0
937,Abdullah Sulayman Street Food Court,Jeddah,  ,Restaurants,"Abdullah Sulayman Street Food Court, Al Jamea Plaza, Jeddah Saudi Arabia",10, Cinnabon,4.0
938,Prince Sultan Road,Jeddah,"  , American, Fast Food, Contemporary", American,"Prince Sultan Road,, Jeddah Saudi Arabia",3, Aussie Grill,5.0
939,Jeddah Saudi Arabia,Jeddah,"  , Sushi, Asian", Sushi,Jeddah Saudi Arabia,13, Maki House,3.5
940,An Nahdah,Jeddah,"Healthy, Middle Eastern", Middle Eastern,"An Nahdah, Jeddah 23523 Saudi Arabia",3, House of Salad,5.0
941,3236 Falastin Street,Jeddah,Cafe,Cafe,"3236 Falastin Street, Jeddah Saudi Arabia",7, Alert Coffee,4.0
942,6065 Prince Sultan Branch Road,Jeddah,Restaurants,Restaurants,"6065 Prince Sultan Branch Road,, Jeddah Saudi Arabia",3, Boho Cafe,5.0
943,Tahliya Street,Jeddah,Chinese,Chinese,"Tahliya Street, Jeddah Saudi Arabia",7, Chun's Bistro,4.0
944,Safia Bint Abdulmutalib St,Jeddah,"  , Indian", Indian,"Safia Bint Abdulmutalib St, Jeddah 23621 Saudi Arabia",5, Karakkhan,4.5
945,Al Hamra Corniche The Equestrian Club,Jeddah,"  , Lebanese, Mediterranean", Lebanese,"Al Hamra Corniche The Equestrian Club, Jeddah 23212 Saudi Arabia",7, Mezza Maison,4.0
946,Al Hamra Corniche,Jeddah,"  , Indian, International, Arabic", Indian,"Al Hamra Corniche,, Jeddah 21531 Saudi Arabia",3,  Shisha Cafe,5.0
947,4638 Rawdah,Jeddah,Restaurants,Restaurants,"4638 Rawdah, Jeddah 23434 Saudi Arabia",6, Ghazal REstaurant,4.0
948,Safeyyah Bint Abdu,Jeddah,  ,Restaurants,"Safeyyah Bint Abdu, Jeddah Saudi Arabia",12, Mood  Burger,4.0
949,Falesteen street,Jeddah,  ,Restaurants,"Falesteen street, Jeddah Saudi Arabia",10, cabogrillo,4.0
950,King Abdul Aziz Road 7400 King Abdul Aziz Rd,Jeddah,  ,Restaurants,"King Abdul Aziz Road 7400 King Abdul Aziz Rd, Ash Shati District, Jeddah Saudi Arabia",6, Haif and Kaif Cafe,4.0
951,Mecca Road,Jeddah,"Indian, Fast Food, Grill, Fusion", Fast Food,"Mecca Road, Jeddah Saudi Arabia",3, Mughlai Indian Restaurant,5.0
952,Al-Faysalya,Jeddah,"  , Turkish, Middle Eastern, Halal", Turkish,"Al-Faysalya, Jeddah Saudi Arabia",27, Ashwaq,3.5
953,7009 King Abdul Aziz Road,Jeddah,"  , Italian", Italian,"7009 King Abdul Aziz Road, Jeddah Saudi Arabia",8, Balsamico Too,4.0
954,Prince Mohammed bin AbdulAziz street,Jeddah,Cafe,Cafe,"Prince Mohammed bin AbdulAziz street, Jeddah Saudi Arabia",8, Voila Cafe,4.0
955,6399 Cornishe Rd Beach tower,Jeddah,  ,Restaurants,"6399 Cornishe Rd Beach tower, Jeddah 23613 Saudi Arabia",7, Dijon Cafe,4.5
956,Albatterjee Street,Jeddah,"  , American", American,"Albatterjee Street, Jeddah 23522 Saudi Arabia",7, The Code Burger & More,4.0
957,Stars Avenue Mall,Jeddah,Cafe,Cafe,"Stars Avenue Mall, Jeddah 23424 Saudi Arabia",6, Maya La Chocolaterie,4.5
958,3175 Muhyi Ad Din An Nadhir,Jeddah,"  , Mediterranean, Turkish, Middle Eastern", Mediterranean,"3175 Muhyi Ad Din An Nadhir, Jeddah Saudi Arabia",27, Bursa Iskender,3.5
959,Prince Naif Road,Jeddah,"  , Indian", Indian,"Prince Naif Road, North Obhur, Jeddah Saudi Arabia",7, Green Coriander Indian Cuisine,4.0
962,Prince Sultan Road,Jeddah,  ,Restaurants,"Prince Sultan Road, Jeddah 21414 Saudi Arabia",7, Choix,4.0
963,Kind Abdullah RD Al Salam Mall,Jeddah,"  , European", European,"Kind Abdullah RD Al Salam Mall, Jeddah Saudi Arabia",5, Marcel's Frozen Yoghurt,4.5
964,Prince Sultan Road,Jeddah,Italian,Italian,"Prince Sultan Road, Jeddah Saudi Arabia",4, The Italian Cuisine,4.5
965,Jeddah Saudi Arabia,Jeddah,Seafood,Seafood,Jeddah Saudi Arabia,7, Seagulls Catch,4.0
966,Sari Street,Jeddah,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"Sari Street, Jeddah 21533 Saudi Arabia",20, Ahwak,4.0
967,Al Ma'adi Street Al-Hamra'a,Jeddah,"  , Italian, French, American", Italian,"Al Ma'adi Street Al-Hamra'a, Jeddah 21443 Saudi Arabia",10, Bridge Cafe,4.0
968,Madinah Road / King Abdullah street,Jeddah,"  , Asian, Indonesian", Asian,"Madinah Road / King Abdullah street, Jeddah Saudi Arabia",10, Putri Sri Wijaya,4.0
969,King - Red Sea Mall,Jeddah,Middle Eastern,Middle,"King - Red Sea Mall, Jeddah Saudi Arabia",5, Araek ALnakheel,4.0
970,King Abdulaziz Road Leylaty Group,Jeddah,", Mediterranean, Spanish", Mediterranean,"King Abdulaziz Road Leylaty Group, Jeddah 21411 Saudi Arabia",16, Rico,3.5
971,Prince Sultan Rd Ar Rawdah,Jeddah,"Lebanese, Cafe, Mediterranean, Barbecue", Cafe,"Prince Sultan Rd Ar Rawdah, Jeddah 23435 Saudi Arabia",3, Alhakawati Restaurant and Cafe,4.5
972,Al Hamra,Jeddah,", Italian", Italian,"Al Hamra, Jeddah Saudi Arabia",5, Rustico Oriental,4.0
973,Ismail Abu Daud Al Andalus,Jeddah,"  , French", French,"Ismail Abu Daud Al Andalus, Jeddah 23326, Saudi Arabia, Jeddah 23326 Saudi Arabia",6, Fauchon,4.0
974,4124 Al Rawdah Khalidiah District,Jeddah,"  , Indian, Asian, Vegetarian Friendly", Indian,"4124 Al Rawdah Khalidiah District, Jeddah 234457532 Saudi Arabia",31, Taj Mahal Palace Restaurant,3.5
975,Al Odaba Street Near Ibn Sena Polyclinic,Jeddah,"  , Chinese, Indian", Chinese,"Al Odaba Street Near Ibn Sena Polyclinic, Jeddah 21421 Saudi Arabia",12, Aadaab,3.5
976,Prince Faisal Bin Fahad Street,Jeddah,"French, Seafood", Seafood,"Prince Faisal Bin Fahad Street, Jeddah Saudi Arabia",7, Lumiere Fine Dining,4.5
977,Abdul Maqsud Khojah,Jeddah,Arabic,Arabic,"Abdul Maqsud Khojah, Jeddah Saudi Arabia",3, Alseekh Express,4.5
978,Palestine Street,Jeddah,"  , International", International,"Palestine Street, Jeddah 21442 Saudi Arabia",5, Al Basaateen Restaurant,4.5
979,Sari Street Al Rawdah Dist,Jeddah,"  , American", American,"Sari Street Al Rawdah Dist, Jeddah Saudi Arabia",15, I m Hungry,3.5
980,Prince Abdullah Afisal,Jeddah,American,American,"Prince Abdullah Afisal, Jeddah Saudi Arabia",4, Layers,4.5
981,7615 King Fahd Road Al Baghdadiyah Ash Sharqiyah District,Jeddah,"  , Asian", Asian,"7615 King Fahd Road Al Baghdadiyah Ash Sharqiyah District, Jeddah 22241 Saudi Arabia",15, Aryaas,4.0
982,Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,Jeddah Saudi Arabia,5, Lounge by Aurum,4.0
983,Hiraa Street,Jeddah,  ,Restaurants,"Hiraa Street, Jeddah Saudi Arabia",8, Dominos Pizza Restaurant,3.5
984,Tahlieh,Jeddah,Restaurants,Restaurants,"Tahlieh, Jeddah Saudi Arabia",6, Wazzup Dog,4.0
985,Al Faisaliyah,Jeddah,  ,Restaurants,"Al Faisaliyah, Jeddah 23444 Saudi Arabia",9, Zam Zam Restaurant,3.5
986,Al Nahdaa Al-Rawdah,Jeddah,  ,Restaurants,"Al Nahdaa Al-Rawdah, Solidaire, Jeddah 23432 Saudi Arabia",11, Titanium Cafe,3.5
987,7424 King Abdulaziz Branch Rd,Jeddah,"Mediterranean, Egyptian", Egyptian,"7424 King Abdulaziz Branch Rd, Ash Shati, Red Sea Mall, Jeddah 23612, Jeddah 23612 Saudi Arabia",4, Aldawar ALMASSRY,4.5
988,Hira Street,Jeddah,  ,Restaurants,"Hira Street, Jeddah, Jeddah 21553 Saudi Arabia",14, Frank Mohamed,3.5
989,Hamad Al-Jasser Street,Jeddah,"Lebanese, Mediterranean", Mediterranean,"Hamad Al-Jasser Street, Jeddah Saudi Arabia",3, Sheikh Manqoush,5.0
990,N. King Abdulaziz Road Red Sea Mall,Jeddah,"  , Italian, Pizza, European", Italian,"N. King Abdulaziz Road Red Sea Mall, First Floor, Jeddah Saudi Arabia",22, Pasto Caldo,3.5
991,Alkurnish,Jeddah,"American, Native American", Native American,"Alkurnish, Jeddah 6502 Saudi Arabia",2, Trend,5.0
992,Hira St,Jeddah,", Lebanese, Fast Food, Mediterranean", Lebanese,"Hira St, An Nuzhah, Jeddah 23532 Saudi Arabia",2, Emad Bakeries,5.0
993,King's Road Tower,Jeddah,"  , Turkish, Arabic", Turkish,"King's Road Tower,, Jeddah 23423 Saudi Arabia",7, Lavida Lounge,4.0
994,Sultan St Sultan Mall,Jeddah,  ,Restaurants,"Sultan St Sultan Mall, Jeddah Saudi Arabia",6, The Globe and Lounge Restaurant,4.0
995,at the side of Al Shallal Theme Park,Jeddah,Restaurants,Restaurants,"at the side of Al Shallal Theme Park, Jeddah Saudi Arabia",5, Hainan Restaurant,4.0
996,Abdulmaqsud Khoja Street,Jeddah,"Caribbean, Latin, Cafe, Spanish", Latin,"Abdulmaqsud Khoja Street, Jeddah Saudi Arabia",2, Kiaora,5.0
997,4446 Abdullah Ash Sharbatli,Jeddah,Restaurants,Restaurants,"4446 Abdullah Ash Sharbatli, Jeddah Saudi Arabia",6, Restaurant Kanoon Kebab Baladi,4.0
998,Prince Sultan St.,Jeddah,Restaurants,Restaurants,"Prince Sultan St., Jeddah 23526 Saudi Arabia",2, Asmak Tharaa,5.0
999,1 Hira Street Al Zahra'a District,Jeddah,"Mediterranean, Egyptian", Egyptian,"1 Hira Street Al Zahra'a District, Jeddah 23522 Saudi Arabia",5, Koshary El Tahrir,4.0
1000,Al-Tahlia Str. facing Jeddah Int'l Market,Jeddah,"  , Chinese, Asian", Chinese,"Al-Tahlia Str. facing Jeddah Int'l Market, facing KFC, Jeddah Saudi Arabia",13, Golden Palace,4.0
1001,Park Hayatt Marina,Jeddah,Vegetarian Friendly,Restaurants,"Park Hayatt Marina, Jeddah Saudi Arabia",9, SaladBoutique,4.0
1002,King Abd El Aziz Road Red Sea Mall,Jeddah,"  , Turkish, Middle Eastern", Turkish,"King Abd El Aziz Road Red Sea Mall, Jeddah Saudi Arabia",20, Mado,3.5
1003,8688 King Abdul Aziz Road Boulvard Mall,Jeddah,"  , Italian, International", Italian,"8688 King Abdul Aziz Road Boulvard Mall, Jeddah 23414-3701 Saudi Arabia",4, La Dolce Vita Cafe,4.5
1004,Al Husayni St,Jeddah,"  , American, International, European", American,"Al Husayni St, Abdul Rahman Al Tubayshi St, Al Andalus, Jeddah, Saudi Arabia, 23326, Jeddah Saudi Arabia",2, Dining and Co,5.0
1005,King Abdullah Road,Jeddah,Fast Food,Fast,"King Abdullah Road, Jeddah Saudi Arabia",5, Popeyes,4.0
1006,Mall Of Arabia Jeddah,Jeddah,"Cafe, British", British,"Mall Of Arabia Jeddah, Jeddah Saudi Arabia",2, Caffe Concerto,5.0
1007,King Abdul Aziz Road Food Court,Jeddah,Restaurants,Restaurants,"King Abdul Aziz Road Food Court, Stars Avenue Mall, Jeddah Saudi Arabia",4, Joe's Diner,4.5
1008,Hamad Al-Jasir Street Next to the Farm Supermarket,Jeddah,"  , Italian", Italian,"Hamad Al-Jasir Street Next to the Farm Supermarket, Jeddah 21414 Saudi Arabia",5, Angelico la Pizzeria,4.0
1009,Quraish Street,Jeddah,"  , Fast Food", Fast Food,"Quraish Street, Jeddah Saudi Arabia",4, Yogorino,4.5
1010,Tahlia Street Al-Khalidiyah District,Jeddah,"  , Cafe", Cafe,"Tahlia Street Al-Khalidiyah District, Jeddah 23421 Saudi Arabia",7, Qatarat,4.0
1011,Prince Majid Street,Jeddah,"  , Chinese, Indian, Barbecue", Chinese,"Prince Majid Street, Jeddah Saudi Arabia",6, Salt n pepper,4.0
1012,2192 Al Udaba,Jeddah,  ,Restaurants,"2192 Al Udaba, Al Aziziyah District, Jeddah 23342 Saudi Arabia",7, Texas Grill,3.5
1013,Hamad Al Jaser Street,Jeddah,  ,Restaurants,"Hamad Al Jaser Street, Jeddah 23435 Saudi Arabia",5, Pizza Pion,4.0
1014,Al Maadi,Jeddah,", Italian, Mexican, Seafood", Italian,"Al Maadi, Al Hamra, Jeddah 21443, Saudi Arabia, Jeddah 10924 Saudi Arabia",28, Al Zahra Restaurant,4.5
1015,Palestine Street and Thalia Street,Jeddah,Restaurants,Restaurants,"Palestine Street and Thalia Street, Jeddah Saudi Arabia",4, Le GOURMET,4.5
1016,Prince Sultan Road,Jeddah,Seafood,Seafood,"Prince Sultan Road, Jeddah Saudi Arabia",3, Senara Restaurant,4.5
1017,Azizia,Jeddah,"Indian, Middle Eastern, Pakistani", Middle Eastern,"Azizia, Jeddah Saudi Arabia",4, Fine Grill Restaurant,4.0
1018,Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,Jeddah Saudi Arabia,4, Pattaya Thai,4.5
1019,Tahliah Street,Jeddah,Arabic,Arabic,"Tahliah Street, Jeddah Saudi Arabia",4, Sheikha Al-Matbakh,4.0
1020,Qasim Zinah,Jeddah,"International, Asian, Indonesian", Asian,"Qasim Zinah, Jeddah Saudi Arabia",2, Choubidou,5.0
1021,Sari Street,Jeddah,"  , Arabic", Arabic,"Sari Street, Jeddah Saudi Arabia",4, Al Baidar Restaurant,4.0
1022,Road 4654 Building 3236,Jeddah,Restaurants,Restaurants,"Road 4654 Building 3236, Block 346, Al Seef District, Jeddah 01714 Saudi Arabia",4, Reem Al Bawadi,4.5
1023,Corniche Road,Jeddah,  ,Restaurants,"Corniche Road, Jeddah Saudi Arabia",12, Ghanouj Lebanese Cuisine,3.5
1024,6396 Cornishe Rd,Jeddah,Restaurants,Restaurants,"6396 Cornishe Rd, Jeddah 23613 Saudi Arabia",4, Znjabeel,4.0
1025,Al Sahafa Street,Jeddah,", Indian, Middle Eastern, Pakistani", Indian,"Al Sahafa Street, Beside Dauha Ul Uloom International School Aziziyah, Jeddah 23342 Saudi Arabia",2, Snow Dip N Roll,5.0
1026,Corniche Street,Jeddah,", Lebanese, Mediterranean, Middle Eastern", Lebanese,"Corniche Street, Jeddah Saudi Arabia",9, Falafel Boutique,4.0
1027,Al Kayyal,Jeddah,Healthy,Healthy,"Al Kayyal, Ar Rawdah23433, Jeddah Saudi Arabia",2, Sinless,4.5
1028,3103 Palestine Street Mushrifah,Jeddah,"Mediterranean, Egyptian", Egyptian,"3103 Palestine Street Mushrifah, Jeddah 23218 Saudi Arabia",3, Koshary Abu Tarek,4.0
1029,Alrawdah St. Alkhaldiya Dist.,Jeddah,"  , American, Fast Food", American,"Alrawdah St. Alkhaldiya Dist., Jeddah 21453 Saudi Arabia",19, Wing Zone,3.5
1030,Al Salameh District. ,Jeddah,"  , Italian, Lebanese, Mediterranean", Italian,"Al Salameh District. , Saqar Quraish Street, Jeddah Saudi Arabia",6, La Luna Bakery,3.5
1031,3813 Sari,Jeddah,"  , Turkish, Middle Eastern", Turkish,"3813 Sari, Al Khalidiyah District, Jeddah Saudi Arabia",22, Modo,3.5
1032,Batterjee Street,Jeddah,Cafe,Cafe,"Batterjee Street, Jeddah Saudi Arabia",2, Sara Ladies Cafe,4.5
1033,Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,Jeddah Saudi Arabia,8, Boofiya Falafel Ramzi,3.5
1034,AL Balad Historical distric Jeddah,Jeddah,Restaurants,Restaurants,"AL Balad Historical distric Jeddah, near Nassif House Museum, Jeddah 22236 Saudi Arabia",2, Cafe Magad,4.5
1035,Palasteen-Walk-Street,Jeddah,", Middle Eastern", Middle Eastern,"Palasteen-Walk-Street, Jeddah Saudi Arabia",11, Shawermatac,3.5
1036,Malik Road Red Sea Mall,Jeddah,Turkish,Turkish,"Malik Road Red Sea Mall, Jeddah Saudi Arabia",3, Saray Latif Red Sea Mall,4.0
1037,Jeddah 21431 Saudi Arabia,Jeddah,  ,Restaurants,Jeddah 21431 Saudi Arabia,4, Primo,4.0
1038,Safia Bint Abdulmutalib St,Jeddah,", Asian, Indonesian, Malaysian", Asian,"Safia Bint Abdulmutalib St, Jeddah Saudi Arabia",3, Satay Asia,4.0
1039,King Abdul Aziz Road,Jeddah,Restaurants,Restaurants,"King Abdul Aziz Road, Jeddah Saudi Arabia",4, La Mamounia,4.5
1040,Prince Sultan Rd,Jeddah,"  , American", American,"Prince Sultan Rd,, Jeddah Saudi Arabia",11, Swisshouse,3.5
1041,8322 King Abdul Aziz Rd,Jeddah,", American, Fast Food, International", American,"8322 King Abdul Aziz Rd, Ash Shati, Jeddah 23414 3683, Jeddah 23414 Saudi Arabia",2, The Smokehouse,4.5
1042,Balath,Jeddah,"  , American", American,"Balath, Jeddah Saudi Arabia",12, kfc,3.0
1043,3048 Palestine Rd Al Hamra West Palestine Rd,Jeddah,"  , French, Steakhouse, Diner", French,"3048 Palestine Rd Al Hamra West Palestine Rd, Jeddah 23212 Saudi Arabia",12, Relais de Paris Entrecote Jeddah,3.5
1044,Ice Land,Jeddah,", Italian", Italian,"Ice Land, Prince Sultan Street Al-Shallal Theme Park Branch, Jeddah 21465 Saudi Arabia",10, Freshi Ice Sticks,4.0
1045,Al Yamamah Street,Jeddah,Restaurants,Restaurants,"Al Yamamah Street, Jeddah 21524 Saudi Arabia",2, Kashmir Nights Restaurant,4.5
1046,Khalid Bin Waled Street,Jeddah,"  , Asian, Indonesian", Asian,"Khalid Bin Waled Street, Sharafiyah Khalid Commercial Center, Jeddah 52000 Saudi Arabia",11, Batavia Restaurant,4.0
1047,King Abdul Aziz Road Red Sea Mall,Jeddah,"Italian, European", European,"King Abdul Aziz Road Red Sea Mall, Jeddah Saudi Arabia",8, Filicori Zecchini,3.5
1048,Safa street ,Jeddah,"  , Chinese, Japanese, Filipino", Chinese,"Safa street , Al Nahdah Near the AGS Boys school, Jeddah 00966 Saudi Arabia",2, Oriental Garden Restaurant,4.5
1049,Wahib Bin Umair,Jeddah,American,American,"Wahib Bin Umair, Jeddah Saudi Arabia",2,  Bites,4.5
1050,Ameer Majid Road ,Jeddah,"  , Asian, Pakistani, Indian", Asian,"Ameer Majid Road ,Al-Aziziyah, Jeddah Saudi Arabia",30, Kababish,3.0
1051,Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,Jeddah Saudi Arabia,2, Atheel Cafe,5.0
1052,Khalid Bin Al-Waleed Street Muhammed Ibn Abdul Wahab,Jeddah,", Chinese, Indian", Chinese,"Khalid Bin Al-Waleed Street Muhammed Ibn Abdul Wahab, Al Baghdediah Al Sharqiyah, Jeddah 22235 Saudi Arabia",4, Sapphire Family Restaurant,4.0
1053,Sultana Center,Jeddah,", Middle Eastern", Middle Eastern,"Sultana Center, Opposite Danube Tahlia, Jeddah 23326 Saudi Arabia",2, Tahina And Falafel,4.5
1054,N21 34. 335' E039 09. 562' facing Rifaat supermarket,Jeddah,", Fast Food, Lebanese, Mediterranean", Fast Food,"N21 34. 335' E039 09. 562' facing Rifaat supermarket, Jeddah Saudi Arabia",7, Tawook Basha,4.5
1055,King Abdulaziz Branch Road Le Prestige Mall,Jeddah,"Cafe, Fusion, Healthy", Fusion,"King Abdulaziz Branch Road Le Prestige Mall, Jeddah 23414 Saudi Arabia",9, Urth Caffe,3.5
1056,Al Naseem Street,Jeddah,Restaurants,Restaurants,"Al Naseem Street, Jeddah Saudi Arabia",6, Lishlazz,3.5
1057,Next To The Mayor Dhahban,Jeddah,Restaurants,Restaurants,"Next To The Mayor Dhahban, Jeddah Saudi Arabia",2, Al Sharah,4.5
1058,6734 Abdul Rahman Ibn Ahmad As Sidayri,Jeddah,Restaurants,Restaurants,"6734 Abdul Rahman Ibn Ahmad As Sidayri, Jeddah 23436 Saudi Arabia",3, Agha House Shawerma,4.0
1059,Intersection King Abdullah With Khaled Bin Waled,Jeddah,American,American,"Intersection King Abdullah With Khaled Bin Waled, Jeddah Saudi Arabia",5, Mcdonald,3.5
1060,Palestine Street,Jeddah,Restaurants,Restaurants,"Palestine Street, Jeddah Saudi Arabia",6, Java Lounge,4.0
1061,9272 Al Madinah Al Munawarah Rd,Jeddah,"Lebanese, Seafood, Mediterranean, Barbecue", Seafood,"9272 Al Madinah Al Munawarah Rd, Jeddah 21391 Saudi Arabia",3, Mais Alreem,4.0
1062,Quraish Street Khateeb al tabreezi,Jeddah,Restaurants,Restaurants,"Quraish Street Khateeb al tabreezi, Jeddah Saudi Arabia",2, Bsbosati,4.5
1063,Movenpick Al Nawras Resort,Jeddah,Arabic,Arabic,"Movenpick Al Nawras Resort, Jeddah 21424 Saudi Arabia",7, Al Wadaa Restaurant,3.5
1064,7100 Prince Abdullah AlFiasal St,Jeddah,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"7100 Prince Abdullah AlFiasal St, Jeddah Saudi Arabia",7, Shawermashy,3.5
1065,Al Kayyal St,Jeddah,  ,Restaurants,"Al Kayyal St, Jeddah Saudi Arabia",6, Ryan's,3.5
1066,Tariq Almadinat Almunawrat Mall Of Arabia,Jeddah,Restaurants,Restaurants,"Tariq Almadinat Almunawrat Mall Of Arabia, Jeddah 23532 Saudi Arabia",2, Kunefeci,4.0
1067,Prince Majid Rd,Jeddah,", American, Fast Food, European", American,"Prince Majid Rd, Al Marwah, Jeddah Al Marwah Plaza, Jeddah 23451 Saudi Arabia",1, X Bite,5.0
1068,Tahlia Street Rawda,Jeddah,"  , French, Cafe", French,"Tahlia Street Rawda, Jeddah Saudi Arabia",14, Bert's,3.5
1069,Al Nozha,Jeddah,Restaurants,Restaurants,"Al Nozha, Jeddah Saudi Arabia",3, Charley's Grilled Sub,4.0
1070,Prince Mohammed Bin Abdulaziz St Al Andalus,Jeddah,"African, Mediterranean, Barbecue, Middle Eastern", Mediterranean,"Prince Mohammed Bin Abdulaziz St Al Andalus, Jeddah 23322 Saudi Arabia",1, Al Dawar Al Masri,5.0
1071,Al-Nuzhah Located In Mall Of Arabia,Jeddah,"Cafe, Turkish", Turkish,"Al-Nuzhah Located In Mall Of Arabia, Al-madinah Almunawara Road, Jeddah 23532 Saudi Arabia",2, Kahve Dunyasi,4.0
1072,3800 al Amir Sultan al Khalidiyah District,Jeddah,"  , Greek", Greek,"3800 al Amir Sultan al Khalidiyah District, Jeddah 23423 Saudi Arabia",1, Mikel Coffee,5.0
