,address_line1,city,food_type,food_type1,location,number_of_reviews,restaurant_name,review_score
181,Prince Turki Street Moevenpick Hotel Al Khobar,Eastern_Province,"  , Cafe, International, Arabic", Cafe,"Prince Turki Street Moevenpick Hotel Al Khobar, Al Khobar 31952 Saudi Arabia",6, The View,5.0
182,Mall of Dahrain Located inside Mall of Dhahran,Eastern_Province,"  , American, Steakhouse", American,"Mall of Dahrain Located inside Mall of Dhahran, Dhahran, Ash Sharqiyah, Al Khobar Saudi Arabia",24, Papa's Grill,4.0
183,Prince Mohammed Bin Fahd Street Beside Sheraton Dammam Hotel & Towers,Eastern_Province,"  , Caribbean, Jamaican, Arabic", Caribbean,"Prince Mohammed Bin Fahd Street Beside Sheraton Dammam Hotel & Towers, Dammam 31462 Saudi Arabia",50, Saffron,3.5
184,Dammam Saudi Arabia,Eastern_Province,"Indian, International, Grill, Healthy", International,Dammam Saudi Arabia,8, Holiday Restaurant Dammam,4.5
185,Prince Mohammed Ibn Fahd Rd,Eastern_Province,"Japanese, Peruvian, Asian, South American", Peruvian,"Prince Mohammed Ibn Fahd Rd, Dhahran Saudi Arabia",6, Tokuzo Restaurant,4.5
187,Fanateer - Al Shati Street Fanateer Mall,Eastern_Province,"  , Pizza", Pizza,"Fanateer - Al Shati Street Fanateer Mall, Al Jubail Saudi Arabia",14, Pizza Hut,4.0
188,Aln Najam Street,Eastern_Province,"Cafe, Middle Eastern", Middle Eastern,"Aln Najam Street, Al Hofuf, Al Ahsa Saudi Arabia",10, Joman Restaurant & Kitchens,4.0
189,Prince Turki Street,Eastern_Province,International,International,"Prince Turki Street, Al Khobar Saudi Arabia",14, Rosette,4.0
191,4th Street,Eastern_Province,"  , Middle Eastern, Asian, Pakistani", Middle Eastern,"4th Street, Al Khobar Saudi Arabia",20, Kabana Restaurants,4.0
193,King Khalid Road,Eastern_Province,"  , Italian, European, International", Italian,"King Khalid Road, Al Hofuf, Al Ahsa 36361 Saudi Arabia",21, Amore's,4.0
194,Abdullah Bin AbdulazizKing Road,Eastern_Province,"  , Italian, Pizza, European", Italian,"Abdullah Bin AbdulazizKing Road, Ash Shati Al Gharbi,, Dammam 32413 Saudi Arabia",6, Piatto,4.5
195,Al Khobar Saudi Arabia,Eastern_Province,"  , Cafe, Italian, European", Cafe,Al Khobar Saudi Arabia,21, MONDO,4.0
196,8415-34414-2663,Eastern_Province,"  , Lebanese, Middle Eastern, Mediterranean", Lebanese,"8415-34414-2663, Al Khobar Saudi Arabia",24, Dar Al-Karam,3.5
197,4793 Amr bin AlAss St Panda roundabout,Eastern_Province,"  , Mediterranean, Fusion, Arabic", Mediterranean,"4793 Amr bin AlAss St Panda roundabout, Red tag complex, Mubaraz, AlAhsa, Saudi Arabia, Al Ahsa 36342 Saudi Arabia",5, Mistca,5.0
198,Khaleej Street,Eastern_Province,"  , Chinese, Indian", Chinese,"Khaleej Street, Dammam Saudi Arabia",15, Anarkali Restaurant,3.5
199,Bashar Ibn Burd Street,Eastern_Province,Cafe,Cafe,"Bashar Ibn Burd Street, Al Khobar Saudi Arabia",5, August Cafe,5.0
200,3347-32244-8637 5 Street,Eastern_Province,"  , Indian, Asian, Vegetarian Friendly", Indian,"3347-32244-8637 5 Street, Dammam Saudi Arabia",24, Paragon Hotel Kerala,3.5
201,King Fahd Street,Eastern_Province,"  , Japanese, Sushi, Asian", Japanese,"King Fahd Street, Al Khobar 8241 Saudi Arabia",6, Kyoto Japanese Restaurant,4.5
202,Prince Musaed Street Cross 22nd-23rd,Eastern_Province,"  , Asian, Pakistani, Chinese", Asian,"Prince Musaed Street Cross 22nd-23rd, Al Khobar 31952 Saudi Arabia",16, Shahzada,4.0
203,Hay Essalam Street 18,Eastern_Province,"  , Fast Food, Turkish, Fusion", Fast Food,"Hay Essalam Street 18, Dammam 32416 Saudi Arabia",6, Shaw Shawarma,4.5
